lesson,module,title,question,option,length,option_text
m1_l8_w,Module 1: Digital Safety,WhatsApp Eats All My MB,2,2,22,Turn off auto-download
m1_l8_w,Module 1: Digital Safety,WhatsApp Eats All My MB,2,3,23,Buy more data every day
m1_l8_w,Module 1: Digital Safety,WhatsApp Eats All My MB,3,3,25,Turn off auto-downloading
m1_l9_u,Module 1: Digital Safety,Using Voice Notes for Your Business,1,2,27,I recorded but did not send
m1_l9_u,Module 1: Digital Safety,Using Voice Notes for Your Business,2,1,31,Voice notes feel warm and clear
m1_l9_u,Module 1: Digital Safety,Using Voice Notes for Your Business,2,2,30,Customers prefer long messages
m1_l9_u,Module 1: Digital Safety,Using Voice Notes for Your Business,2,3,24,She used perfect English
m1_l9_u,Module 1: Digital Safety,Using Voice Notes for Your Business,3,1,24,Send it without checking
m1_l9_u,Module 1: Digital Safety,Using Voice Notes for Your Business,3,3,23,Record in a noisy place
m2_l10_p,Module 2: Digital Marketing,Posting Regularly Without Stress,2,1,21,It deducts bank funds
m2_l10_p,Module 2: Digital Marketing,Posting Regularly Without Stress,3,1,22,Pacing a 3-day routine
m2_l10_p,Module 2: Digital Marketing,Posting Regularly Without Stress,3,2,22,Deleting business apps
m2_l2_t,Module 2: Digital Marketing,The Right Photo to Get the Right Customer ,3,2,22,To adjust phone volume
m2_l3_a,Module 2: Digital Marketing,Available Is Not Enough - Captions That Sell,1,2,21,I feel shy to show it
m2_l3_a,Module 2: Digital Marketing,Available Is Not Enough - Captions That Sell,3,2,22,It lowers product cost
m2_l4_t,Module 2: Digital Marketing,Turning My Product Photo Into a Simple Flyer ,1,2,23,I got stuck downloading
m2_l4_t,Module 2: Digital Marketing,Turning My Product Photo Into a Simple Flyer ,3,1,21,It saves battery life
m2_l4_t,Module 2: Digital Marketing,Turning My Product Photo Into a Simple Flyer ,3,2,21,It makes reading easy
m2_l5_s,Module 2: Digital Marketing,Social Media Promotional Posting,1,2,21,"No, but I will search"
m2_l6_m,Module 2: Digital Marketing,My WhatsApp Business Shop,1,2,21,I need help migrating
m2_l7_r,Module 2: Digital Marketing,Replying My Customers Well,2,1,21,It consumes more data
m2_l8_s,Module 2: Digital Marketing,Sending One Message to Many Customers - No Groups!,1,2,21,I need help making it
m2_l9_h,Module 2: Digital Marketing,"Happy Customers, More Customers!",2,2,21,Block private details
m3_l1_d,Module 3: Financial Tools and E-commerce,Did I Really Make Profit Today?,1,2,21,I tried but got stuck
m3_l1_d,Module 3: Financial Tools and E-commerce,Did I Really Make Profit Today?,3,1,30,Once a month when you remember
m3_l1_d,Module 3: Financial Tools and E-commerce,Did I Really Make Profit Today?,3,2,31,At the end of each business day
m3_l1_d,Module 3: Financial Tools and E-commerce,Did I Really Make Profit Today?,3,3,30,Only when something goes wrong
m3_l2_h,Module 3: Financial Tools and E-commerce,House Money or Shop Money?,2,1,29,Her business will look busier
m3_l2_h,Module 3: Financial Tools and E-commerce,House Money or Shop Money?,2,2,47,She will not know if her business is profitable
m3_l2_h,Module 3: Financial Tools and E-commerce,House Money or Shop Money?,2,3,33,Her customers will trust her more
m3_l2_h,Module 3: Financial Tools and E-commerce,House Money or Shop Money?,3,1,31,Spending all profit on yourself
m3_l2_h,Module 3: Financial Tools and E-commerce,House Money or Shop Money?,3,2,62,Taking a fixed amount regularly instead of dipping in randomly
m3_l2_h,Module 3: Financial Tools and E-commerce,House Money or Shop Money?,3,3,41,Borrowing from family to run the business
m3_l3_s,Module 3: Financial Tools and E-commerce,Small Daily Expenses Eating Your Profit,1,1,26,"Yes, I wrote them all down"
m3_l3_s,Module 3: Financial Tools and E-commerce,Small Daily Expenses Eating Your Profit,1,2,31,I tracked some but missed a few
m3_l3_s,Module 3: Financial Tools and E-commerce,Small Daily Expenses Eating Your Profit,2,3,48,It does not matter because the amounts are small
m3_l3_s,Module 3: Financial Tools and E-commerce,Small Daily Expenses Eating Your Profit,3,1,23,At the end of the month
m3_l3_s,Module 3: Financial Tools and E-commerce,Small Daily Expenses Eating Your Profit,3,2,23,The moment you spend it
m3_l3_s,Module 3: Financial Tools and E-commerce,Small Daily Expenses Eating Your Profit,3,3,37,Only when the amount is above NGN 500
m3_l4_i,Module 3: Financial Tools and E-commerce,I Have Sent the Money — Confirm It!,1,1,27,"Yes, I know how to check it"
m3_l4_i,Module 3: Financial Tools and E-commerce,I Have Sent the Money — Confirm It!,1,2,22,I need help finding it
m3_l4_i,Module 3: Financial Tools and E-commerce,I Have Sent the Money — Confirm It!,2,1,42,Trust the screenshot and release the goods
m3_l4_i,Module 3: Financial Tools and E-commerce,I Have Sent the Money — Confirm It!,2,2,52,Check her own bank account before releasing anything
m3_l4_i,Module 3: Financial Tools and E-commerce,I Have Sent the Money — Confirm It!,2,3,25,Ask a neighbour to decide
m3_l4_i,Module 3: Financial Tools and E-commerce,I Have Sent the Money — Confirm It!,3,1,28,The screenshot they show you
m3_l4_i,Module 3: Financial Tools and E-commerce,I Have Sent the Money — Confirm It!,3,2,30,Their word that they have paid
m3_l4_i,Module 3: Financial Tools and E-commerce,I Have Sent the Money — Confirm It!,3,3,43,Checking your own bank account or USSD code
m3_l5_w,Module 3: Financial Tools and E-commerce,Working Safely With POS Agents,1,1,26,"Yes, I confirmed it myself"
m3_l5_w,Module 3: Financial Tools and E-commerce,Working Safely With POS Agents,1,2,32,I need help knowing how to check
m3_l5_w,Module 3: Financial Tools and E-commerce,Working Safely With POS Agents,2,1,36,Try the transaction again to be safe
m3_l5_w,Module 3: Financial Tools and E-commerce,Working Safely With POS Agents,2,2,42,Refuse to pay again and request a reversal
m3_l5_w,Module 3: Financial Tools and E-commerce,Working Safely With POS Agents,2,3,34,Leave and hope it sorts itself out
m3_l5_w,Module 3: Financial Tools and E-commerce,Working Safely With POS Agents,3,1,33,Thank the agent and leave quickly
m3_l5_w,Module 3: Financial Tools and E-commerce,Working Safely With POS Agents,3,2,60,Confirm the transaction on your own banking app or USSD code
m3_l5_w,Module 3: Financial Tools and E-commerce,Working Safely With POS Agents,3,3,40,Ask the agent if everything went through
m3_l6_s,Module 3: Financial Tools and E-commerce,Saving Money Small Small — Digitally,1,1,28,"Yes, I made my first deposit"
m3_l6_s,Module 3: Financial Tools and E-commerce,Saving Money Small Small — Digitally,1,2,39,I found the app but did not deposit yet
m3_l6_s,Module 3: Financial Tools and E-commerce,Saving Money Small Small — Digitally,2,1,34,Hide the cash in a different place
m3_l6_s,Module 3: Financial Tools and E-commerce,Saving Money Small Small — Digitally,2,2,38,Move her savings to a digital platform
m3_l6_s,Module 3: Financial Tools and E-commerce,Saving Money Small Small — Digitally,2,3,28,Stop saving and spend freely
m3_l6_s,Module 3: Financial Tools and E-commerce,Saving Money Small Small — Digitally,3,1,34,Saving a large amount once a month
m3_l6_s,Module 3: Financial Tools and E-commerce,Saving Money Small Small — Digitally,3,2,45,Saving whatever is left at the end of the day
m3_l6_s,Module 3: Financial Tools and E-commerce,Saving Money Small Small — Digitally,3,3,50,Saving a small fixed amount every day consistently
m3_l7_i,Module 3: Financial Tools and E-commerce,Is My Pricing Making Me Profit? Or Loss?,1,2,38,I tried but need help with the formula
m3_l7_i,Module 3: Financial Tools and E-commerce,Is My Pricing Making Me Profit? Or Loss?,3,1,41,The same as what others around you charge
m3_l7_i,Module 3: Financial Tools and E-commerce,Is My Pricing Making Me Profit? Or Loss?,3,2,50,Higher than your total cost including all expenses
m3_l7_i,Module 3: Financial Tools and E-commerce,Is My Pricing Making Me Profit? Or Loss?,3,3,44,As low as possible to attract more customers
m3_l8_c,Module 3: Financial Tools and E-commerce,Creating a WhatsApp Catalogue or Product List,1,1,26,"Yes, my catalogue is ready"
m3_l8_c,Module 3: Financial Tools and E-commerce,Creating a WhatsApp Catalogue or Product List,1,2,23,I started but need help
m3_l8_c,Module 3: Financial Tools and E-commerce,Creating a WhatsApp Catalogue or Product List,2,1,47,Type out all her products and prices one by one
m3_l8_c,Module 3: Financial Tools and E-commerce,Creating a WhatsApp Catalogue or Product List,2,2,70,Send her WhatsApp Catalogue link so the customer can browse everything
m3_l8_c,Module 3: Financial Tools and E-commerce,Creating a WhatsApp Catalogue or Product List,2,3,35,Ask the customer to visit her stall
m3_l8_c,Module 3: Financial Tools and E-commerce,Creating a WhatsApp Catalogue or Product List,3,2,65,"A clear photo, product name, correct price, and short description"
m3_l8_c,Module 3: Financial Tools and E-commerce,Creating a WhatsApp Catalogue or Product List,3,3,43,A long story about how the product was made
m3_l9_w,Module 3: Financial Tools and E-commerce,What My Records Say After One Week,1,1,28,"Yes, I know my weekly profit"
m3_l9_w,Module 3: Financial Tools and E-commerce,What My Records Say After One Week,1,2,30,I looked but did not calculate
m3_l9_w,Module 3: Financial Tools and E-commerce,What My Records Say After One Week,3,1,38,Ignore it and hope next week is better
m3_l9_w,Module 3: Financial Tools and E-commerce,What My Records Say After One Week,3,2,55,Use it to find ways to reduce transport costs next week
m3_l9_w,Module 3: Financial Tools and E-commerce,What My Records Say After One Week,3,3,23,Stop recording expenses
m4_l1_m,Module 4: Women's Rights and Digital Well-Being,My Phone Belongs to Me,1,2,41,I tried but need help finding the setting
m4_l1_m,Module 4: Women's Rights and Digital Well-Being,My Phone Belongs to Me,2,1,24,Her right to free speech
m4_l1_m,Module 4: Women's Rights and Digital Well-Being,My Phone Belongs to Me,2,2,45,Her right to digital independence and privacy
m4_l1_m,Module 4: Women's Rights and Digital Well-Being,My Phone Belongs to Me,2,3,22,Her right to education
m4_l1_m,Module 4: Women's Rights and Digital Well-Being,My Phone Belongs to Me,3,1,41,"True, nobody should ever touch your phone"
m4_l1_m,Module 4: Women's Rights and Digital Well-Being,My Phone Belongs to Me,3,2,61,"it is about choosing who has access, not locking everyone out"
m4_l1_m,Module 4: Women's Rights and Digital Well-Being,My Phone Belongs to Me,3,3,44,"True, sharing your phone is always dangerous"
m4_l2_w,Module 4: Women's Rights and Digital Well-Being,What Online Harassment Actually Looks Like,1,1,37,A friendly customer trying to connect
m4_l2_w,Module 4: Women's Rights and Digital Well-Being,What Online Harassment Actually Looks Like,1,2,49,"Online harassment, excessive and unwanted contact"
m4_l2_w,Module 4: Women's Rights and Digital Well-Being,What Online Harassment Actually Looks Like,1,3,29,Normal business communication
m4_l2_w,Module 4: Women's Rights and Digital Well-Being,What Online Harassment Actually Looks Like,2,1,49,A customer showing appreciation for your products
m4_l2_w,Module 4: Women's Rights and Digital Well-Being,What Online Harassment Actually Looks Like,2,2,56,"Online harassment, specifically unwanted sexual advances"
m4_l2_w,Module 4: Women's Rights and Digital Well-Being,What Online Harassment Actually Looks Like,2,3,41,A normal way for customers to communicate
m4_l2_w,Module 4: Women's Rights and Digital Well-Being,What Online Harassment Actually Looks Like,3,1,49,Delete it immediately so you don't have to see it
m4_l2_w,Module 4: Women's Rights and Digital Well-Being,What Online Harassment Actually Looks Like,3,2,27,Reply and tell them to stop
m4_l2_w,Module 4: Women's Rights and Digital Well-Being,What Online Harassment Actually Looks Like,3,3,53,"Stay calm, do not delete it yet, and do not apologize"
m4_l3_f,Module 4: Women's Rights and Digital Well-Being,"Fake Love, Fake Accounts, and People Pretending to Be Someone Else",1,1,49,Send the money because they seem to be in trouble
m4_l3_f,Module 4: Women's Rights and Digital Well-Being,"Fake Love, Fake Accounts, and People Pretending to Be Someone Else",1,2,70,"Recognize this as a major red flag, block them, and report the account"
m4_l3_f,Module 4: Women's Rights and Digital Well-Being,"Fake Love, Fake Accounts, and People Pretending to Be Someone Else",1,3,58,Ask for more details about their emergency before deciding
m4_l3_f,Module 4: Women's Rights and Digital Well-Being,"Fake Love, Fake Accounts, and People Pretending to Be Someone Else",2,1,29,The person is very attractive
m4_l3_f,Module 4: Women's Rights and Digital Well-Being,"Fake Love, Fake Accounts, and People Pretending to Be Someone Else",2,2,66,The profile has very few friends and quickly asks for bank details
m4_l3_f,Module 4: Women's Rights and Digital Well-Being,"Fake Love, Fake Accounts, and People Pretending to Be Someone Else",2,3,39,The person wants to partner in business
m4_l3_f,Module 4: Women's Rights and Digital Well-Being,"Fake Love, Fake Accounts, and People Pretending to Be Someone Else",3,1,46,Trust them if they sound friendly and educated
m4_l3_f,Module 4: Women's Rights and Digital Well-Being,"Fake Love, Fake Accounts, and People Pretending to Be Someone Else",3,2,47,Send a small amount of money first to test them
m4_l3_f,Module 4: Women's Rights and Digital Well-Being,"Fake Love, Fake Accounts, and People Pretending to Be Someone Else",3,3,72,Ask for a video call or do a reverse image search of their profile photo
m4_l4_t,Module 4: Women's Rights and Digital Well-Being,Things Never to Be Shared Online,1,1,41,A photo of her new product with the price
m4_l4_t,Module 4: Women's Rights and Digital Well-Being,Things Never to Be Shared Online,1,2,54,A photo of her bank statement showing the large amount
m4_l4_t,Module 4: Women's Rights and Digital Well-Being,Things Never to Be Shared Online,1,3,65,"A general message saying ""Big sales today! Thank you, customers!"""
m4_l4_t,Module 4: Women's Rights and Digital Well-Being,Things Never to Be Shared Online,2,1,22,Your full home address
m4_l4_t,Module 4: Women's Rights and Digital Well-Being,Things Never to Be Shared Online,2,2,76,A photo of your new product with its price and your business WhatsApp number
m4_l4_t,Module 4: Women's Rights and Digital Well-Being,Things Never to Be Shared Online,2,3,55,Your exact real-time location while away from your shop
m4_l4_t,Module 4: Women's Rights and Digital Well-Being,Things Never to Be Shared Online,3,1,48,"Leave it, it is their post and not your business"
m4_l4_t,Module 4: Women's Rights and Digital Well-Being,Things Never to Be Shared Online,3,2,49,Ask them to remove the tag or take down the photo
m4_l4_t,Module 4: Women's Rights and Digital Well-Being,Things Never to Be Shared Online,3,3,46,Share it yourself since they already posted it
m4_l5_b,Module 4: Women's Rights and Digital Well-Being,"Blocking, Reporting, and Protecting Your Peace",1,1,32,"Yes, I reviewed and updated them"
m4_l5_b,Module 4: Women's Rights and Digital Well-Being,"Blocking, Reporting, and Protecting Your Peace",1,2,36,I looked but did not change anything
m4_l5_b,Module 4: Women's Rights and Digital Well-Being,"Blocking, Reporting, and Protecting Your Peace",2,1,33,Reply and tell the person to stop
m4_l5_b,Module 4: Women's Rights and Digital Well-Being,"Blocking, Reporting, and Protecting Your Peace",2,2,36,Block the unknown number on WhatsApp
m4_l5_b,Module 4: Women's Rights and Digital Well-Being,"Blocking, Reporting, and Protecting Your Peace",2,3,23,Change her phone number
m4_l5_b,Module 4: Women's Rights and Digital Well-Being,"Blocking, Reporting, and Protecting Your Peace",3,1,38,Reporting sends them a warning message
m4_l5_b,Module 4: Women's Rights and Digital Well-Being,"Blocking, Reporting, and Protecting Your Peace",3,2,78,Reporting helps the platform act and protects other women from the same person
m4_l5_b,Module 4: Women's Rights and Digital Well-Being,"Blocking, Reporting, and Protecting Your Peace",3,3,45,Reporting automatically deletes their account
m4_l6_n,Module 4: Women's Rights and Digital Well-Being,Nigerian Law and Online Harassment,1,1,27,Reply to them one last time
m4_l6_n,Module 4: Women's Rights and Digital Well-Being,Nigerian Law and Online Harassment,1,2,50,Take dated screenshots of the messages as evidence
m4_l6_n,Module 4: Women's Rights and Digital Well-Being,Nigerian Law and Online Harassment,1,3,50,Delete the messages so you do not have to see them
m4_l6_n,Module 4: Women's Rights and Digital Well-Being,Nigerian Law and Online Harassment,3,1,58,Delete the messages so she does not have to see them again
m4_l6_n,Module 4: Women's Rights and Digital Well-Being,Nigerian Law and Online Harassment,3,2,113,"Take dated screenshots, block and report on the platform, and consider reporting to the police given the severity"
m4_l6_n,Module 4: Women's Rights and Digital Well-Being,Nigerian Law and Online Harassment,3,3,44,Ignore it completely since it is just online
m4_l7_w,Module 4: Women's Rights and Digital Well-Being,When WhatsApp Feels Too Heavy,1,2,35,I did not know this feature existed
m4_l7_w,Module 4: Women's Rights and Digital Well-Being,When WhatsApp Feels Too Heavy,2,1,32,Digital stress or screen fatigue
m4_l7_w,Module 4: Women's Rights and Digital Well-Being,When WhatsApp Feels Too Heavy,3,1,52,Keep all notifications on so you never miss anything
m4_l7_w,Module 4: Women's Rights and Digital Well-Being,When WhatsApp Feels Too Heavy,3,2,90,Set specific phone work hours and turn off non-essential notifications outside those hours
m4_l7_w,Module 4: Women's Rights and Digital Well-Being,When WhatsApp Feels Too Heavy,3,3,63,"Respond to every customer message immediately, even at midnight"
m4_l8_b,Module 4: Women's Rights and Digital Well-Being,Becoming a Safe Woman for Other Women,1,1,57,Start a public argument with the stranger in the comments
m4_l8_b,Module 4: Women's Rights and Digital Well-Being,Becoming a Safe Woman for Other Women,1,2,89,Send Joy a private message to offer support and report the insulting comments to Facebook
m4_l8_b,Module 4: Women's Rights and Digital Well-Being,Becoming a Safe Woman for Other Women,1,3,59,Share the stranger's profile with others to gang up on them
m4_l8_b,Module 4: Women's Rights and Digital Well-Being,Becoming a Safe Woman for Other Women,2,1,31,Because it is not your business
m4_l8_b,Module 4: Women's Rights and Digital Well-Being,Becoming a Safe Woman for Other Women,2,2,87,Because engaging them can escalate the situation and draw negative attention to you too
m4_l8_b,Module 4: Women's Rights and Digital Well-Being,Becoming a Safe Woman for Other Women,2,3,49,Because the platform will handle it automatically
m4_l8_b,Module 4: Women's Rights and Digital Well-Being,Becoming a Safe Woman for Other Women,3,1,61,"Allow members to say anything,  freedom of expression matters"
m4_l8_b,Module 4: Women's Rights and Digital Well-Being,Becoming a Safe Woman for Other Women,3,2,69,Set clear anti-harassment rules and actively moderate to enforce them
m4_l8_b,Module 4: Women's Rights and Digital Well-Being,Becoming a Safe Woman for Other Women,3,3,36,Only admit women you know personally
m5_l1_f,Module 5: Civic Participation Online,Finding Useful Business Information Online,1,2,47,I tried but I'm not sure I used the right words
m5_l1_f,Module 5: Civic Participation Online,Finding Useful Business Information Online,2,1,40,A WhatsApp message forwarded by a friend
m5_l1_f,Module 5: Civic Participation Online,Finding Useful Business Information Online,2,2,55,The official website of a government agency like SMEDAN
m5_l1_f,Module 5: Civic Participation Online,Finding Useful Business Information Online,2,3,40,A blog post with no named author or date
m5_l1_f,Module 5: Civic Participation Online,Finding Useful Business Information Online,3,1,45,Act on it immediately since it sounds helpful
m5_l1_f,Module 5: Civic Participation Online,Finding Useful Business Information Online,3,2,69,Pause and check it against two or three other reputable sources first
m5_l1_f,Module 5: Civic Participation Online,Finding Useful Business Information Online,3,3,38,Forward it to friends so they know too
m5_l2_g,Module 5: Civic Participation Online,"Government Has Started Sharing Money, Is It True?",1,2,40,I don't have a message to test right now
m5_l2_g,Module 5: Civic Participation Online,"Government Has Started Sharing Money, Is It True?",2,1,61,"It is a genuine opportunity, pay quickly before slots run out"
m5_l2_g,Module 5: Civic Participation Online,"Government Has Started Sharing Money, Is It True?",2,2,61,"It is a scam, legitimate grants never ask for upfront payment"
m5_l2_g,Module 5: Civic Participation Online,"Government Has Started Sharing Money, Is It True?",2,3,57,You should forward it to friends so they can also benefit
m5_l2_g,Module 5: Civic Participation Online,"Government Has Started Sharing Money, Is It True?",3,1,60,A formal application process with clear eligibility criteria
m5_l2_g,Module 5: Civic Participation Online,"Government Has Started Sharing Money, Is It True?",3,2,56,"""Forward this to everyone"" pressure and urgent deadlines"
m5_l2_g,Module 5: Civic Participation Online,"Government Has Started Sharing Money, Is It True?",3,3,48,A named contact person and proper office address
m5_l3_b,Module 5: Civic Participation Online,"Before You Forward That Message, Check Again",1,2,43,I didn't have a suspicious message to check
m5_l3_b,Module 5: Civic Participation Online,"Before You Forward That Message, Check Again",2,1,57,Forward it immediately to protect your family and friends
m5_l3_b,Module 5: Civic Participation Online,"Before You Forward That Message, Check Again",2,2,66,Search the claim on Google and check official health sources first
m5_l3_b,Module 5: Civic Participation Online,"Before You Forward That Message, Check Again",2,3,40,Try the mixture first to see if it works
m5_l3_b,Module 5: Civic Participation Online,"Before You Forward That Message, Check Again",3,1,57,Because it is usually written by professional journalists
m5_l3_b,Module 5: Civic Participation Online,"Before You Forward That Message, Check Again",3,2,53,Because it triggers strong emotion and looks official
m5_l3_b,Module 5: Civic Participation Online,"Before You Forward That Message, Check Again",3,3,36,Because government agencies share it
m5_l4_u,Module 5: Civic Participation Online,Using Your Phone to Document a Problem in Your Market,1,2,33,I tried but I'm not confident yet
m5_l4_u,Module 5: Civic Participation Online,Using Your Phone to Document a Problem in Your Market,2,1,43,"One quick, blurry close-up of just the hole"
m5_l4_u,Module 5: Civic Participation Online,Using Your Phone to Document a Problem in Your Market,2,2,86,"Clear photos from different angles showing the pothole, its size, and nearby landmarks"
m5_l4_u,Module 5: Civic Participation Online,Using Your Phone to Document a Problem in Your Market,2,3,44,A photo with no date or location information
m5_l4_u,Module 5: Civic Participation Online,Using Your Phone to Document a Problem in Your Market,3,1,44,Delete it immediately to free up phone space
m5_l4_u,Module 5: Civic Participation Online,Using Your Phone to Document a Problem in Your Market,3,2,56,Keep it saved safely until the problem is fully resolved
m5_l4_u,Module 5: Civic Participation Online,Using Your Phone to Document a Problem in Your Market,3,3,36,Send it to everyone in your contacts
m5_l5_h,Module 5: Civic Participation Online,How and to Whom To Report Community Problems?,1,1,21,"Yes, I identified one"
m5_l5_h,Module 5: Civic Participation Online,How and to Whom To Report Community Problems?,1,2,33,I'm still not sure who to contact
m5_l5_h,Module 5: Civic Participation Online,How and to Whom To Report Community Problems?,2,1,27,The State Governor directly
m5_l5_h,Module 5: Civic Participation Online,How and to Whom To Report Community Problems?,2,2,56,Your market leaders or the LGA Department of Environment
m5_l5_h,Module 5: Civic Participation Online,How and to Whom To Report Community Problems?,2,3,29,A national television station
m5_l5_h,Module 5: Civic Participation Online,How and to Whom To Report Community Problems?,3,1,30,Give up since nothing happened
m5_l5_h,Module 5: Civic Participation Online,How and to Whom To Report Community Problems?,3,2,69,"Send a polite follow-up, and escalate to a higher authority if needed"
m5_l5_h,Module 5: Civic Participation Online,How and to Whom To Report Community Problems?,3,3,29,Wait indefinitely for a reply
m5_l6_f,Module 5: Civic Participation Online,Finding the Right Women and Business Groups,1,2,34,I searched but haven't decided yet
m5_l6_f,Module 5: Civic Participation Online,Finding the Right Women and Business Groups,2,1,76,"It has clear rules, an active admin, and focuses on genuine business support"
m5_l6_f,Module 5: Civic Participation Online,Finding the Right Women and Business Groups,2,2,53,It allows members to post anything without moderation
m5_l6_f,Module 5: Civic Participation Online,Finding the Right Women and Business Groups,2,3,54,It frequently shares exciting investment opportunities
m5_l6_f,Module 5: Civic Participation Online,Finding the Right Women and Business Groups,3,1,59,"Click any group link sent to you, even from unknown numbers"
m5_l6_f,Module 5: Civic Participation Online,Finding the Right Women and Business Groups,3,2,61,Only join through a link shared by someone you know and trust
m5_l6_f,Module 5: Civic Participation Online,Finding the Right Women and Business Groups,3,3,56,Join as many groups as possible to increase your chances
m5_l7_m,Module 5: Civic Participation Online,My Voice Matters,1,2,27,I started but didn't finish
m5_l7_m,Module 5: Civic Participation Online,My Voice Matters,2,1,57,Posting angry complaints on your personal WhatsApp status
m5_l7_m,Module 5: Civic Participation Online,My Voice Matters,2,2,100,"A polite but firm message to the electricity company's official page, with dates and impact included"
m5_l7_m,Module 5: Civic Participation Online,My Voice Matters,2,3,43,Waiting for other traders to complain first
m5_l7_m,Module 5: Civic Participation Online,My Voice Matters,3,1,66,Because your daily experience as a trader is itself valid evidence
m5_l7_m,Module 5: Civic Participation Online,My Voice Matters,3,2,38,Because only officials' opinions count
m5_l7_m,Module 5: Civic Participation Online,My Voice Matters,3,3,50,Because speaking up guarantees an immediate result
